"index","year","avg_num_parts"
"0","1950","10.14"
"1","1953","16.5"
"2","1954","12.36"
"3","1955","36.86"
"4","1956","18.5"
"5","1957","42.62"
"6","1958","44.45"
"7","1959","16.25"
"8","1960","175.33"
"9","1961","70.59"
"10","1962","81.75"
"11","1963","33.33"
"12","1964","82.64"
"13","1965","107.1"
"14","1966","40.63"
"15","1967","98.57"
"16","1968","127.16"
"17","1969","64.58"
"18","1970","84.79"
"19","1971","66.98"
"20","1972","102.79"
"21","1973","104.9"
"22","1974","116.77"
"23","1975","155.23"
"24","1976","153.03"
"25","1977","91.5"
"26","1978","146.62"
"27","1979","105.35"
"28","1980","126.64"
"29","1981","92.51"
"30","1982","69.33"
"31","1983","116.07"
"32","1984","95.04"
"33","1985","122.04"
"34","1986","113.8"
"35","1987","70"
"36","1988","144.16"
"37","1989","101.4"
"38","1990","201.75"
"39","1991","164.45"
"40","1992","119.6"
"41","1993","148.41"
"42","1994","127.63"
"43","1995","179.03"
"44","1996","201.59"
"45","1997","130.57"
"46","1998","141.13"
"47","1999","105.59"
"48","2000","104.37"
"49","2001","104.37"
"50","2002","115.7"
"51","2003","159.68"
"52","2004","138.85"
"53","2005","198.7"
"54","2006","246.83"
"55","2007","227.6"
"56","2008","231.6"
"57","2009","197.29"
"58","2010","210.43"
"59","2011","160.09"
"60","2012","149.77"
"61","2013","181.34"
"62","2014","169.72"
"63","2015","201.67"
"64","2016","253.08"
"65","2017","260.82"