"index","year","total_sets","moving_avg_5yr"
"0","1950","7","7"
"1","1953","4","5.5"
"2","1954","14","8.33"
"3","1955","28","13.25"
"4","1956","12","13"
"5","1957","21","15.8"
"6","1958","42","23.4"
"7","1959","4","21.4"
"8","1960","3","16.4"
"9","1961","17","17.4"
"10","1962","40","21.2"
"11","1963","18","16.4"
"12","1964","11","17.8"
"13","1965","10","19.2"
"14","1966","89","33.6"
"15","1967","21","29.8"
"16","1968","25","31.2"
"17","1969","69","42.8"
"18","1970","29","46.6"
"19","1971","45","37.8"
"20","1972","38","41.2"
"21","1973","67","49.6"
"22","1974","39","43.6"
"23","1975","31","44"
"24","1976","68","48.6"
"25","1977","92","59.4"
"26","1978","73","60.6"
"27","1979","82","69.2"
"28","1980","88","80.6"
"29","1981","79","82.8"
"30","1982","76","79.6"
"31","1983","57","76.4"
"32","1984","76","75.2"
"33","1985","139","85.4"
"34","1986","123","94.2"
"35","1987","209","120.8"
"36","1988","68","123"
"37","1989","115","130.8"
"38","1990","85","120"
"39","1991","107","116.8"
"40","1992","115","98"
"41","1993","111","106.6"
"42","1994","128","109.2"
"43","1995","128","117.8"
"44","1996","144","125.2"
"45","1997","192","140.6"
"46","1998","325","183.4"
"47","1999","300","217.8"
"48","2000","327","257.6"
"49","2001","339","296.6"
"50","2002","447","347.6"
"51","2003","415","365.6"
"52","2004","371","379.8"
"53","2005","330","380.4"
"54","2006","283","369.2"
"55","2007","321","344"
"56","2008","349","330.8"
"57","2009","402","337"
"58","2010","444","359.8"
"59","2011","503","403.8"
"60","2012","615","462.6"
"61","2013","593","511.4"
"62","2014","713","573.6"
"63","2015","665","617.8"
"64","2016","596","636.4"
"65","2017","296","572.6"